persona_id,persona_name,goal,risk,horizon,experience,amount,rank,fund_id,fund_name,category,asset_class,score,match_level,sharpe,sortino,cagr3y,volatility,null_fields,confidence_level,confidence_reason
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",64.33,"medium",1.32,3.29,8.34,1.36,0,"high","Fund has 10+ year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",64,"medium",1.8,2.55,8.01,0.87,0,"high","Fund has 10+ year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",3,"ICICI_Prudential_Banking___PSU_Debt_Fund___Direct__233","ICICI Prudential Banking & PSU Debt Fund - Direct Plan","DT-BK & PSU","Debt",62.09,"medium",1.54,2.06,7.9,0.94,0,"high","Fund has 10+ year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",4,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",78.41,"high",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",5,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",77.91,"high",3.66,6.01,7.05,0.19,0,"high","Fund has 10+ year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",6,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",71.21,"high",2.61,4.56,8.35,0.7,0,"high","Fund has 7-year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",7,"Aditya_Birla_Sun_Life_Floating_Rate_Fund___Direct__25","Aditya Birla Sun Life Floating Rate Fund - Direct Plan","DT-Floater","Debt",67.99,"medium",2.5,3.26,7.85,0.55,0,"high","Fund has 10+ year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",8,"Axis_Treasury_Advantage_Fund___Direct_Plan_65","Axis Treasury Advantage Fund - Direct Plan","DT-LD","Debt",71.2,"high",2.86,4.35,7.7,0.44,0,"high","Fund has 10+ year track record and complete performance history."
1,"Retiree Capital Preservation","capital_preservation","conservative","short","experienced","large",9,"Mahindra_Manulife_Low_Duration_Fund___Direct_Plan_330","Mahindra Manulife Low Duration Fund - Direct Plan","DT-LD","Debt",70.52,"high",2.91,4,7.71,0.42,0,"high","Fund has 9-year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",64.52,"medium",1.32,3.29,8.34,1.36,0,"high","Fund has 10+ year track record and complete performance history."
